CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
ABC GLOBAL SERVICES,00385140,2,11,2,0,826.20,0.00,75.70,901.90,-1.00,5.50,75.11,81.99,3,240.30
LEXYL TRAVEL TECHNOLOGIES,01657620,1,1,2,0,68.00,0.00,6.42,74.42,0.00,1.00,68.00,74.42,0,0.00
NSF INTERNATIONAL,01415500,1,2,1,0,168.48,0.00,14.96,183.44,14.00,2.00,84.24,91.72,0,0.00
MEDTRONIC INC,00305910,1,16,1,0,1395.64,0.00,122.73,1518.37,10.00,16.00,87.23,94.90,0,0.00
MISTRAS GROUP,01604570,1,5,1,0,346.68,0.00,32.53,379.21,10.00,5.00,69.34,75.84,0,0.00
CLC LODGING II,01711610,11,26,11,0,1650.60,0.00,159.31,1809.91,4.00,2.45,63.48,69.61,3,239.00
SCHNEIDER (TRUCKING COMPANY),01224560,17,17,17,0,1171.17,0.00,101.72,1272.89,0.00,1.00,68.89,74.88,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01796740,3,7,4,3,526.75,0.00,-3.30,523.45,1.00,2.33,75.25,74.78,0,0.00
Hotel Tonight,01576500,1,3,2,0,190.01,0.00,18.35,208.36,0.00,3.00,63.34,69.45,0,0.00
ROIBOS TECHNOLOGIES SL,01819070,1,3,2,2,148.50,0.00,15.63,164.13,6.00,3.00,49.50,54.71,0,0.00
ROCKET TRAVEL,01851320,1,2,2,0,180.00,0.00,15.70,195.70,-1.00,2.00,90.00,97.85,0,0.00
HOTEL ENGINE SUPPLEMENTAL,01851260,2,2,2,0,123.20,0.00,12.02,135.22,0.00,1.00,61.60,67.61,0,0.00
"HOTELBEDS USA, INC",01861670,9,15,18,0,958.41,0.00,138.48,1096.89,7.00,1.67,63.89,73.13,11,703.11
OGQ - ONE GLOBAL TRAVEL,01874090,1,1,1,0,76.50,0.00,6.98,83.48,23.00,1.00,76.50,83.48,0,0.00
ANDERSON MERCHANDISERS,01102770,2,6,2,0,403.38,0.00,38.20,441.58,4.00,3.00,67.23,73.60,0,0.00
CENTIMARK USA CENTRALIZED BILL,01871180,2,16,4,0,1192.32,0.00,109.52,1301.84,2.00,8.00,74.52,81.37,0,0.00
HOPPER (USA) INC. (DG/HPCT),01856310,4,5,8,0,316.25,0.00,16.09,332.34,1.00,1.25,63.25,66.47,0,0.00
