CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
ABC GLOBAL SERVICES,00385140,3,7,3,0,575.88,0.00,51.40,627.28,10.00,2.33,82.27,89.61,3,249.69
AMERICAN EXPRESS RATE,01438960,1,2,2,0,193.00,0.00,16.55,209.55,1.00,2.00,96.50,104.78,0,0.00
BEST WESTERN BUSINESS ADVANTAG,01526650,1,1,1,0,94.00,0.00,8.11,102.11,29.00,1.00,94.00,102.11,0,0.00
LEXYL TRAVEL TECHNOLOGIES,01657620,1,2,2,0,169.84,0.00,15.04,184.88,0.00,2.00,84.92,92.44,0,0.00
HOTEL  ENGINE,01527540,2,2,2,0,168.48,0.00,14.96,183.44,0.00,1.00,84.24,91.72,0,0.00
TRIP.COM,01605480,2,2,4,0,126.96,0.00,12.25,139.21,-1.00,1.00,63.48,69.61,0,0.00
CLC LODGING II,01711610,12,31,13,0,2191.92,0.00,204.48,2396.40,6.00,2.92,70.71,77.30,0,0.00
ALG VACATIONS CORP  (DH),01514990,1,3,2,0,208.53,0.00,19.56,228.09,99.00,3.00,69.51,76.03,0,0.00
SCHNEIDER (TRUCKING COMPANY),01224560,3,5,3,0,389.16,0.00,35.26,424.42,0.00,1.67,77.83,84.88,1,76.14
(EPS) EXPEDIA PARTNER SOLUTION,01796740,5,10,8,0,683.67,0.00,88.28,771.95,2.00,2.00,68.37,77.20,0,0.00
JB HUNT,01581670,1,1,1,0,76.14,0.00,6.94,83.08,0.00,1.00,76.14,83.08,0,0.00
LODGELINK,01713820,2,22,3,0,1631.40,0.00,152.08,1783.48,4.00,18.00,74.15,81.07,14,1020.24
ELM Utility Service,00000236,1,3,2,0,244.64,0.00,21.91,266.55,12.00,3.00,81.55,88.85,0,0.00
ROCKET TRAVEL,01851320,1,1,2,0,66.75,0.00,2.00,68.75,0.00,2.00,66.75,68.75,5,330.51
ADVANTAGE PRIMARY,01377800,6,17,6,0,1408.50,0.00,125.54,1534.04,13.00,2.83,82.85,90.24,0,0.00
HOTEL ENGINE SUPPLEMENTAL,01851260,11,32,14,0,2389.31,0.00,244.34,2633.65,2.00,2.91,74.67,82.30,0,0.00
SOUTHWEST AIRLINES,01396420,2,2,2,0,162.91,0.00,14.60,177.51,0.00,1.00,81.46,88.76,0,0.00
"HOTELBEDS USA, INC",01861670,35,93,54,0,6049.40,0.00,249.89,6299.29,1.00,2.77,65.05,67.73,1,130.00
OGQ - ONE GLOBAL TRAVEL,01874090,1,1,1,0,84.60,0.00,7.50,92.10,0.00,1.00,84.60,92.10,0,0.00
CENTIMARK USA CENTRALIZED BILL,01871180,1,1,1,0,72.09,0.00,2.00,74.09,0.00,1.00,72.09,74.09,0,0.00
HOPPER (USA) INC. (DG/HPCT),01856310,4,4,8,0,288.25,0.00,8.00,296.25,0.00,1.00,72.06,74.06,0,0.00
ILLUSIONS ONLINE ARABIA FZ LLC,01884230,1,1,2,0,75.20,0.00,6.89,82.09,0.00,1.00,75.20,82.09,0,0.00
AVORIS CORPORATION EMPRESARIAI,01845390,2,3,4,0,207.75,0.00,19.52,227.27,1.00,1.50,69.25,75.76,0,0.00
PRICE TRAVEL HOLDING,01645440,1,5,1,0,329.10,0.00,31.35,360.45,1.00,6.00,65.82,72.09,0,0.00
CLCVCC,01915120,1,1,1,0,70.00,0.00,6.55,76.55,1.00,1.00,70.00,76.55,0,0.00
BNSF - CLC DIRECT CONNECT,01863870,1,1,2,0,0.72,0.00,2.00,2.72,0.00,1.00,0.72,2.72,0,0.00
